,date,location,forecast_date,temperature
0,2022-04-18,"Lawrence,KS",2022-04-18,27.1
1,2022-04-18,"Lawrence,KS",2022-04-19,42.01
2,2022-04-18,"Lawrence,KS",2022-04-20,43.77
3,2022-04-18,"Lawrence,KS",2022-04-21,46.56
4,2022-04-18,"Lawrence,KS",2022-04-22,48.16
5,2022-04-18,"Lawrence,KS",2022-04-23,47.28
6,2022-04-18,"Lawrence,KS",2022-04-24,52.25
7,2022-04-18,"Lawrence,KS",2022-04-25,35.31
8,2022-04-18,"San Diego,CA",2022-04-18,65.26
9,2022-04-18,"San Diego,CA",2022-04-19,70.66
10,2022-04-18,"San Diego,CA",2022-04-20,77.76
11,2022-04-18,"San Diego,CA",2022-04-21,83.14
12,2022-04-18,"San Diego,CA",2022-04-22,85.41
13,2022-04-18,"San Diego,CA",2022-04-23,76.55
14,2022-04-18,"San Diego,CA",2022-04-24,79.59
15,2022-04-18,"San Diego,CA",2022-04-25,79.5
16,2022-04-18,"San Francisco,CA",2022-04-18,50.31
17,2022-04-18,"San Francisco,CA",2022-04-19,55.96
18,2022-04-18,"San Francisco,CA",2022-04-20,55.81
19,2022-04-18,"San Francisco,CA",2022-04-21,52.02
20,2022-04-18,"San Francisco,CA",2022-04-22,54.16
21,2022-04-18,"San Francisco,CA",2022-04-23,53.65
22,2022-04-18,"San Francisco,CA",2022-04-24,54.86
23,2022-04-18,"San Francisco,CA",2022-04-25,51.19
24,2022-04-18,"Burlington,VT",2022-04-19,68.63
25,2022-04-18,"Burlington,VT",2022-04-20,61.34
26,2022-04-18,"Burlington,VT",2022-04-21,71.4
27,2022-04-18,"Burlington,VT",2022-04-22,77.0
28,2022-04-18,"Burlington,VT",2022-04-23,77.23
29,2022-04-18,"Burlington,VT",2022-04-24,74.84
30,2022-04-18,"Burlington,VT",2022-04-25,55.65
31,2022-04-18,"Burlington,VT",2022-04-26,64.44
32,2022-04-18,"Lawrence,KS",2022-04-18,27.1
33,2022-04-18,"Lawrence,KS",2022-04-19,42.01
34,2022-04-18,"Lawrence,KS",2022-04-20,43.77
35,2022-04-18,"Lawrence,KS",2022-04-21,46.56
36,2022-04-18,"Lawrence,KS",2022-04-22,48.16
37,2022-04-18,"Lawrence,KS",2022-04-23,47.28
38,2022-04-18,"Lawrence,KS",2022-04-24,52.25
39,2022-04-18,"Lawrence,KS",2022-04-25,35.31
40,2022-04-18,"San Diego,CA",2022-04-18,65.26
41,2022-04-18,"San Diego,CA",2022-04-19,70.66
42,2022-04-18,"San Diego,CA",2022-04-20,77.76
43,2022-04-18,"San Diego,CA",2022-04-21,83.14
44,2022-04-18,"San Diego,CA",2022-04-22,85.41
45,2022-04-18,"San Diego,CA",2022-04-23,76.55
46,2022-04-18,"San Diego,CA",2022-04-24,79.59
47,2022-04-18,"San Diego,CA",2022-04-25,79.5
48,2022-04-18,"San Francisco,CA",2022-04-18,50.31
49,2022-04-18,"San Francisco,CA",2022-04-19,55.96
50,2022-04-18,"San Francisco,CA",2022-04-20,55.81
51,2022-04-18,"San Francisco,CA",2022-04-21,52.02
52,2022-04-18,"San Francisco,CA",2022-04-22,54.16
53,2022-04-18,"San Francisco,CA",2022-04-23,53.65
54,2022-04-18,"San Francisco,CA",2022-04-24,54.86
55,2022-04-18,"San Francisco,CA",2022-04-25,51.19
56,2022-04-18,"Burlington,VT",2022-04-19,68.63
57,2022-04-18,"Burlington,VT",2022-04-20,61.34
58,2022-04-18,"Burlington,VT",2022-04-21,71.4
59,2022-04-18,"Burlington,VT",2022-04-22,77.0
60,2022-04-18,"Burlington,VT",2022-04-23,77.23
61,2022-04-18,"Burlington,VT",2022-04-24,74.84
62,2022-04-18,"Burlington,VT",2022-04-25,55.65
63,2022-04-18,"Burlington,VT",2022-04-26,64.44
64,2022-04-18,"Lawrence,KS",2022-04-18,27.1
65,2022-04-18,"Lawrence,KS",2022-04-19,42.01
66,2022-04-18,"Lawrence,KS",2022-04-20,43.77
67,2022-04-18,"Lawrence,KS",2022-04-21,46.56
68,2022-04-18,"Lawrence,KS",2022-04-22,48.16
69,2022-04-18,"Lawrence,KS",2022-04-23,47.28
70,2022-04-18,"Lawrence,KS",2022-04-24,52.25
71,2022-04-18,"Lawrence,KS",2022-04-25,35.31
72,2022-04-18,"San Diego,CA",2022-04-18,65.26
73,2022-04-18,"San Diego,CA",2022-04-19,70.66
74,2022-04-18,"San Diego,CA",2022-04-20,77.76
75,2022-04-18,"San Diego,CA",2022-04-21,83.14
76,2022-04-18,"San Diego,CA",2022-04-22,85.41
77,2022-04-18,"San Diego,CA",2022-04-23,76.55
78,2022-04-18,"San Diego,CA",2022-04-24,79.59
79,2022-04-18,"San Diego,CA",2022-04-25,79.5
80,2022-04-18,"San Francisco,CA",2022-04-18,50.31
81,2022-04-18,"San Francisco,CA",2022-04-19,55.96
82,2022-04-18,"San Francisco,CA",2022-04-20,55.81
83,2022-04-18,"San Francisco,CA",2022-04-21,52.02
84,2022-04-18,"San Francisco,CA",2022-04-22,54.16
85,2022-04-18,"San Francisco,CA",2022-04-23,53.65
86,2022-04-18,"San Francisco,CA",2022-04-24,54.86
87,2022-04-18,"San Francisco,CA",2022-04-25,51.19
88,2022-04-18,"Burlington,VT",2022-04-19,68.63
89,2022-04-18,"Burlington,VT",2022-04-20,61.34
90,2022-04-18,"Burlington,VT",2022-04-21,71.4
91,2022-04-18,"Burlington,VT",2022-04-22,77.0
92,2022-04-18,"Burlington,VT",2022-04-23,77.23
93,2022-04-18,"Burlington,VT",2022-04-24,74.84
94,2022-04-18,"Burlington,VT",2022-04-25,55.65
95,2022-04-18,"Burlington,VT",2022-04-26,64.44
96,2022-04-18,"Lawrence,KS",2022-04-18,27.1
97,2022-04-18,"Lawrence,KS",2022-04-19,42.01
98,2022-04-18,"Lawrence,KS",2022-04-20,43.77
99,2022-04-18,"Lawrence,KS",2022-04-21,46.56
100,2022-04-18,"Lawrence,KS",2022-04-22,48.16
101,2022-04-18,"Lawrence,KS",2022-04-23,47.28
102,2022-04-18,"Lawrence,KS",2022-04-24,52.25
103,2022-04-18,"Lawrence,KS",2022-04-25,35.31
104,2022-04-18,"San Diego,CA",2022-04-18,65.26
