,date,location,temperature
0,2022-04-18,"Lawrence,KS","{'temp': 18.86, 'feels_like': 13.12}"
1,2022-04-18,"San Diego,CA","{'temp': 61.32, 'feels_like': 59.68}"
2,2022-04-18,"San Francisco,CA","{'temp': 50.05, 'feels_like': 48.33}"
3,2022-04-18,"Burlington,VT","{'temp': 65.93, 'feels_like': 63.97}"
4,2022-04-18,"Lawrence,KS","{'temp': 18.86, 'feels_like': 13.12}"
5,2022-04-18,"San Diego,CA","{'temp': 61.32, 'feels_like': 59.68}"
6,2022-04-18,"San Francisco,CA","{'temp': 50.05, 'feels_like': 48.33}"
7,2022-04-18,"Burlington,VT","{'temp': 65.93, 'feels_like': 63.97}"
8,2022-04-18,"Lawrence,KS","{'temp': 18.86, 'feels_like': 13.12}"
9,2022-04-18,"San Diego,CA","{'temp': 61.32, 'feels_like': 59.68}"
10,2022-04-18,"San Francisco,CA","{'temp': 50.05, 'feels_like': 48.33}"
11,2022-04-18,"Burlington,VT","{'temp': 65.93, 'feels_like': 63.97}"
12,2022-04-18,"Lawrence,KS","{'temp': 18.86, 'feels_like': 13.12}"
13,2022-04-18,"San Diego,CA","{'temp': 61.32, 'feels_like': 59.68}"
14,2022-04-18,"San Francisco,CA","{'temp': 50.05, 'feels_like': 48.33}"
15,2022-04-18,"Burlington,VT","{'temp': 65.93, 'feels_like': 63.97}"
